"CARRIER","CARRIER_NAME","START_DATE_SOURCE","THRU_DATE_SOURCE",
"3CQ","Andrew Airways, Inc.",2018-10-01,,
"3C","Regions Air, Inc.",2005-01-01,2007-03-31,
"3DQ","Rectrix Aviation, Inc.",2018-07-01,2019-12-31,
"3E","Multi-Aero, Inc. d/b/a Air Choice One",2020-04-01,,
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",2018-10-01,,
"3F","Pacific Airways, Inc.",2006-12-01,2020-03-31,
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",2018-10-01,2020-09-30,
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",2020-10-01,,
"3KQ","Junipogo, LLC",2021-04-01,,
"3K","Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service",1995-07-01,1998-12-31,
"3K","Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service",1999-01-01,2004-12-31,
"3M","Gulfstream Int",2004-08-01,2011-12-31,
"3M","Silver Airways",2012-01-01,2019-12-31,
"3M","Silver Airways",2020-01-01,,
"3S","AeroLogic GmbH",2009-05-01,,
"3SD","Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane",2014-08-01,,
"3U","Sichuan Airlines Co Ltd.",2011-05-01,,
"3Z","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",2005-01-01,2013-06-30,
"4B","Boutique Air",2014-01-01,,
"4B","Olson Air Service",2003-04-01,2005-01-31,
"4C","Aerovias de Intergracian Regional",2009-11-01,,
"4E","British Airtours Limited",1981-07-01,1988-04-30,
"4EQ","Tanana Air Service",2015-01-01,2017-12-31,
"4E","Tanana Air Service",2003-04-01,2014-12-31,
"4H","Belize Trans Air",1990-06-01,1991-06-30,
"4M","LAN Argentina",2006-08-01,,
"4M","Lan Dominica",2003-06-01,2005-04-30,
"4N","Air North",1992-01-01,,
"4O","ABC Aerolineas SA de CV dba Interjet",2011-12-01,,
"4R","Regent Air Corporation",1985-09-01,1986-02-28,
"4S","Conner Air Lines Inc.",1989-03-01,1991-07-31,
"4S","Sol Air (Aero Hunduras)",2002-07-01,,
"4T","Belair Airlines Ltd.",2004-06-01,,
"4W","Warbelow",2003-04-01,,
"4Y","Yute Air Aka Flight Alaska",2003-04-01,2017-03-31,
"5B","Bellair Inc.",1983-06-01,2004-10-31,
"5C","C.A.L Cargo Airlines",2000-09-01,,
"5D","Aerolitoral",2002-10-01,,
"5F","Arctic Circle Air Service",2003-04-01,2010-09-30,
"5G","Queen Air",1998-12-01,2000-10-31,
"5G","Skyservice Airlines, Inc.",2007-05-01,2010-03-31,
"5J","Cebu Air Inc d/b/a Cebu Pacific Air",2016-03-01,,
"5J","Private Jet Expeditions",1993-05-01,1995-03-31,
"5L","Aerosur",2008-04-01,,
"5T","Air America",1984-08-01,1987-12-31,
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",2013-07-01,,
"5X","United Parcel Service",1988-10-01,,
"5Y","Atlas Air Inc.",1993-02-01,2007-12-31,
"5Y","Atlas Air Inc.",2008-01-01,,
"6A","Aviacsa Airlines",1998-05-01,,
"6B","Britannia Airways A.B.",1999-05-01,2008-06-30,
"6B","TUIfly Nordic A.B.",2008-07-01,,
"6C","Cape Smythe Air Service",2003-04-01,2005-07-31,
"6F","Laker Airways Inc.",1996-04-01,2000-12-31,
"6H","Israir Airlines",2004-06-01,,
"6P","Pacific East Air Inc.",1982-07-01,1984-05-31,
"6R","Aerounion ( Aerotransporte de Carga Union SA de CV",2004-01-01,2007-01-31,
"6R","Aerounion Aerotransporte de Carga Union SA de CV",2007-02-01,,
"6U","Air Ukraine",1993-11-01,,
"6Y","Nicaraguense De Aviacion Sa",1992-07-01,,
"7B","Krasair",1995-11-01,,
"7C","Jeju Air Co Ltd.",2012-09-01,,
"7F","First Air",1987-04-01,1989-12-31,
"7G","MK Airlines Ltd.",2001-02-01,2010-05-31,
"7H","Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",2014-07-01,,
"7H","Era Aviation",2003-04-01,2014-06-30,
"7I","Insel Air International B V",2008-10-01,2010-09-30,
"7I","Insel Air International B V",2010-10-01,,
"7J","Skagway Air Service",2003-04-01,2004-12-31,
"7L","Silk Way West Airlines",2015-05-01,,
"7M","Aeromonterrey S.A.",1993-12-01,1994-11-30,
"7N","Inland Aviation Services",2003-04-01,2011-12-31,
"7P","Apa International Air S.A.",1990-11-01,,
"7Q","Pan American World Airways Dominicana",2008-06-01,2010-05-31,
"7S","Arctic Transportation",2003-04-01,2017-12-31,
"7S","Ryan Air f/k/a Arctic Transportation",2018-01-01,,
"7S","Skystar International Inc.",1985-01-01,1987-01-31,
"7Z","Laker Airways",1992-05-01,1997-02-28,
"7Z","Lb Limited",1997-03-01,2004-09-30,
"8C","Air Transport International",1988-10-01,,
"8D","Dynamic Aviation, Inc. d/b/a Beacon",2016-01-01,2019-12-31,
"8D","Servant Air Inc.",2003-07-01,2015-12-31,
"8E","Bering Air Inc.",2003-04-01,,
"8F","Wilburs Inc.",1991-07-01,1992-03-31,
"8I","Inselair Aruba NV",2014-04-01,,
"8J","Jetall Airways",1995-01-01,1996-02-29,
"8L","Servicio Aereo Leo Lopez",1994-06-01,,
"8N","Flagship Airlines Inc.",1998-01-01,1998-06-30,
"8Q","Baker Aviation Inc.",2003-04-01,2008-02-29,
"8R","Edelweiss Air Ag",2002-05-01,,
"8V","Wright Air Service",2003-04-01,,
"9E","Endeavor Air Inc.",2013-08-01,,
"9E","Pinnacle Airlines Inc.",2002-09-01,2002-09-30,
"9E","Pinnacle Airlines Inc.",2002-10-01,2003-12-31,
"9E","Pinnacle Airlines Inc.",2004-01-01,2013-07-31,
"9I","Island Air Service",2003-10-01,2005-03-31,
"9J","Pacific Island Aviation",2002-10-01,2005-02-28,
"9K","Cape Air",2002-10-01,,
"9L","Colgan Air",2002-10-01,2008-03-31,
"9L","Colgan Air",2008-04-01,2009-12-31,
"9L","Colgan Air",2010-01-01,2012-09-30,
"9M","Central Mountain Air",2002-10-01,,
"9N","ANA & JP Express Co. Ltd.",2006-10-01,,
"9N","Trans States Airlines",1991-04-01,2002-06-30,
"9R","Flagship Express Services",1991-07-01,1991-12-31,
"9R","Rosenbalm Aviation Inc.",1980-09-01,1991-06-30,
"9S","Southern Air Inc.",1999-12-01,2007-12-31,
"9S","Southern Air Inc.",2008-01-01,,
"9T","TravelspanGT, Inc. S.A.",2006-12-01,,
"9V","Avior Airlines, C.A.",2007-02-01,,
"9W","Jet Airways (India) Limited",2007-01-01,,
"9X","Southern Airways Express, dba Mokulele Airlines",2020-04-01,,
"A0","Elysair d/b/a L'Avion",2007-01-01,2018-09-30,
"A2","Cielos De Peru",2002-04-01,2012-02-29,
"A4","Southern Wind Airlines",2002-09-01,,
"A7","Air 21",1995-12-01,1997-01-31,
"A7","Air Comet S.A.",2002-01-01,2009-12-31,
"AAA","Associated Aviation Act.",1960-01-01,2002-09-30,
"AA","American Airlines Inc.",1960-01-01,,
"AAB","Abelag Aviation AG",2016-06-01,,
"AAB","Antilles Air Boats Inc.",1960-01-01,2002-09-30,
"AAE","AAA Airlines",1960-01-01,2002-09-30,
"AAI","Audi Air Inc.",1983-10-01,1989-12-31,
"AAL","Argosy Air Lines Inc.",1960-01-01,2002-09-30,
"AAP","Armstrong Air Service Inc.",1985-06-01,1989-12-31,
"AAQ","Advance Air Charters",1994-12-01,1995-06-30,
"AAR","Altair Airlines Inc.",1960-01-01,1986-12-31,
"AAT","Air Sunshine Inc.",1983-06-01,2002-09-30,
"AAT","Air Sunshine Inc.",2011-01-01,,
"AAV","Alpine Air",1984-03-01,2002-09-30,
"AAZ","Alaska Aeronautical Indust.",1960-01-01,1987-12-31,
"AB","Air Berlin PLC and CO",2009-06-01,2017-09-30,
"ABH","Air Bahia",1960-01-01,2002-09-30,
"ABI","Airbama Incorporated",1960-01-01,2002-09-30,
"ABO","Aeronaves Boringuena Inc.",1960-01-01,2002-09-30,
"ABQ","Aeromar C. Por A.",1981-07-01,1993-06-30,
"ABX","ABX Air Inc",2005-10-01,2010-12-31,
"ABX","ABX Air Inc",2011-01-01,,
"ABX","Airborne Express Inc.",2004-04-01,2004-12-31,
"ABX","Airborne Express Inc.",2005-01-01,2005-09-30,
"ACA","Alaska Central Airways Inc.",1960-01-01,2002-09-30,
"AC","Air Canada",1981-07-01,,
"ACD","Academy Airlines",1981-06-01,1986-12-31,
"ACG","Air Cargo Express Inc.",1960-01-01,2001-12-31,
"ACH","Island Airlines Hawaii Inc.",1960-01-01,2002-09-30,
"ACI","AAA-Action Air Carrier Inc.",1960-01-01,2002-09-30,
"ACJ","Atlantic Coast Jet Inc.",2000-07-01,2002-09-30,
"ACJ","Atlantic Coast Jet Inc.",2002-10-01,2004-01-31,
"ACK","Air Central Inc.",1960-01-01,2002-09-30,
"ACL","Check-Air Inc.",1981-06-01,1986-12-31,
"ACN","Alliance Airlines",1985-06-01,2002-09-30,
"ACO","Air Cargo Enterprises Inc.",1960-01-01,2002-09-30,
"ACP","Air Chaparral Inc.",1960-01-01,2002-09-30,
"ACQ","Aeronautica De Cancun",1990-01-01,1996-12-31,
"ACS","Alamo Commuter Airlines",1960-01-01,2002-09-30,
"ACT","Air Central Inc.",1960-01-01,2002-09-30,
"ACW","Transwest Air Express",1981-06-01,1986-12-31,
"AD","Avia Leasing Company",2001-08-01,2014-05-01,
"AD","Azul Linhas Aereas Brazileiras S A",2014-12-01,,
"ADB","Antonov Company",2010-08-01,,
"ADQ","Aeronaves Del Peru",1981-07-01,1994-12-31,
"ADR","Adirondack Airlines",1990-09-01,2002-09-30,
"ADV","Advantage Airlines",1992-06-01,2002-09-30,
"AE","Air Europe Limited",1981-07-01,1991-03-31,
"AEC","Astec Air East Inc.",1960-01-01,2002-09-30,
"AED","Air East Of Delaware Inc.",1981-12-01,2002-09-30,
"AEF","Aero Freight",1989-06-01,2002-09-30,
"AEO","Aero Coach",1986-03-01,2002-09-30,
"AEQ","Air Caravane Inc.",1981-07-01,1989-12-31,
"AEX","Air Excursions LLC",2001-04-01,2001-12-31,
"AEX","Air Excursions LLC",2002-01-01,2003-12-31,
"AFA","American Flag Airlines Inc.",1960-01-01,2002-09-30,
"AF","Compagnie Natl Air France",1981-07-01,,
"AFE","Air Florida Express",1993-09-01,2002-09-30,
"AFG","American Flight Group",1993-09-01,2002-09-30,
"AFQ","Aero B Venezuela C.A.",1982-10-01,1989-12-31,
"AFS","Arcata Flying Service",1983-03-01,2002-09-30,
"AGA","Air Cargo America Inc.",1960-01-01,2002-09-30,
"AG","Arubaanse Luchtvaart Maatschappij NV dba Aruba Airlines",2015-05-01,,
"AGL","Atlantic Gulf Airlines",1983-09-01,1984-09-30,
"AGQ","Argo S. A.",1981-07-01,1989-12-31,
"AHA","Air Alpha",1992-03-01,2002-09-30,
"AHC","Air Hawaii",1960-01-01,1985-11-30,
"AHC","Air Hawaii",1986-03-01,1987-12-31,
"AHQ","Air National",1983-08-01,1984-07-31,
"AIA","All Island Air",1960-01-01,2002-09-30,
"AI","Air-India",1981-07-01,2011-02-28,
"AIC","Air Caribbean",1960-01-01,2002-09-30,
"AIE","Air Express Inc.",1960-01-01,2002-09-30,
"AIG","Airgo Inc.",1981-06-01,1986-12-31,
"AIK","Air Ketchum Idaho Inc.",1999-03-01,2002-09-30,
"AIM","Air Mont. Inc.",1960-01-01,2002-09-30,
"AIN","Air Indiana",1960-01-01,2002-09-30,
"AI","National Aviation Company of India Limited d/b/a Air India",2011-03-01,,
"AIQ","Norontair",1981-07-01,1989-12-31,
"AIT","Airways International",1986-06-01,2002-09-30,
"AIY","Alliance Air",1992-03-01,2002-09-30,
"AJ","Air Micronesia Inc.",1960-01-01,1993-06-30,
"AJQ","Aerodynamics Inc.",2003-07-01,2014-06-30,
"AJQ","Aerodynamics Inc.",2016-01-01,2016-09-30,
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2016-10-01,2020-09-30,
"AKQ","Airmark Airlines Inc.",1992-07-01,1993-07-31,
"AKS","Alaska Seaplane Service",1997-09-01,2001-12-31,
"AKS","Alaska Seaplane Service",2002-01-01,2003-03-31,
"ALD","Allied Airlines",1991-03-01,2002-09-30,
"ALE","Air-Lift Associates Inc.",1960-01-01,2002-09-30,
"ALI","Brandt Air",1960-01-01,2002-09-30,
"ALK","Air Link Airways",1986-03-01,2002-09-30,
"ALL","All Seasons Air Pacific",1960-01-01,2002-09-30,
"ALQ","Alberta Northern Airlines",1981-07-01,1989-12-31,
"ALS","Air L.A.",1986-03-01,1996-12-31,
"AL","Skyway Airlines",2003-07-01,2008-06-30,
"ALT","Altus Airlines",1981-09-01,2002-09-30,
"ALU","Aleutian Air",1988-03-01,2002-09-30,
"AL","USAir",1979-10-01,1988-09-30,
"ALX","Atlanta Express",1981-12-01,2002-09-30,
"AM","Aeromexico",1981-07-01,,
"AMA","North American Airlines Inc.",1960-01-01,2002-09-30,
"AME","Americair Inc.",1984-03-01,2002-09-30,
"AMI","American Inter-Island Inc.",1960-01-01,2002-09-30,
"AMQ","Ameristar Air Cargo",2000-09-01,,
"AMR","AvAir",1985-06-01,1988-12-31,
"AMT","American Air Transport",1981-06-01,1986-12-31,
"AMW","Air Midwest Inc.",1985-01-01,2001-12-31,
"AMW","Air Midwest Inc.",2002-01-01,2002-09-30,
"AN","ADVANCED AIR, LLC",2018-04-01,,
"ANB","Air Nebraska Inc.",1960-01-01,2002-09-30,
"ANC","Atlantic Air",1981-09-01,2002-09-30,
"AND","Southcentral Air Inc.",1960-01-01,2000-06-30,
"ANE","Pacific Wings Airlines",1960-01-01,2002-12-31,
"ANE","Pacific Wings Airlines",2003-01-01,2005-12-31,
"ANI","Dash Air Corporation",1982-12-01,2002-09-30,
"ANM","Airways Of New Mexico Inc.",1960-01-01,2002-09-30,
"ANO","Metro Air Northeast Vermont",1960-01-01,2002-09-30,
"ANT","Air North/Nenana",1960-01-01,2002-09-30,
"AO","Aviacion Y Comercio S.A.",1981-07-01,1989-12-31,
"AOI","Trans New York",1960-01-01,2002-09-30,
"AON","Action Airlines",1985-09-01,2002-09-30,
"AOQ","Aerovias S.A.",1989-01-01,1994-01-31,
"AOQ","Avon Jet AG",2019-01-01,,
"AOR","Air New Orleans",1981-12-01,2002-09-30,
"AP","Aeromexpress",1994-06-01,1995-05-31,
"AP","Aspen Airways Inc.",1960-01-01,1991-04-30,
"APC","Air Puerto Rico Airlines",1986-06-01,1986-09-30,
"APE","Air Cape",1987-03-01,2002-09-30,
"APH","Alpha Air",1985-03-01,2002-09-30,
"API","Arizona Pacific Inc.",1960-01-01,2002-09-30,
"APL","Appalachian Flying Service",1960-01-01,2002-09-30,
"APN","Aspen Airways Inc.",1991-05-01,2002-09-30,
"APQ","Alas De Transporte International",1989-01-01,1996-05-31,
"APS","Air Spirit Inc.",1984-06-01,2002-09-30,
"APY","Air Polynesia Inc.",1960-01-01,2002-09-30,
"AQ","Aloha Airlines Inc.",1981-01-01,2008-03-31,
"AQQ","Air Charter (Safa)",1985-01-01,,
"ARA","Air Resorts Airlines",1982-12-01,2002-09-30,
"AR","Aerolineas Argentinas",1981-07-01,,
"ARB","Air Caribe International",1987-10-01,2002-09-30,
"ARD","Airlift International",1988-07-01,2002-09-30,
"ARI","Arizona Aero Corp.",1960-01-01,2002-09-30,
"ARM","Airmarc Airlines Inc.",1983-09-01,2002-09-30,
"ARN","Arnold Aviation",1960-01-01,2002-09-30,
"ARO","Air Oregon",1960-01-01,2002-09-30,
"ARP","Airspur Helicopters Inc.",1984-03-01,2002-09-30,
"ARQ","Aerovias Colombianas Arca",1990-01-01,1996-12-31,
"ARR","Arrowhead Airways Inc.",1960-01-01,2002-09-30,
"ARS","Air Sedona",1983-12-01,2002-09-30,
"ARZ","Arizona Airways",1992-06-01,1996-12-31,
"AS","Alaska Airlines Inc.",1960-01-01,,
"ASC","Air South Inc.",1991-12-01,1998-09-30,
"ASD","Amistad Airlines",1960-01-01,2002-09-30,
"ASE","Arctic Circle Air Service",1985-01-01,2001-12-31,
"ASE","Arctic Circle Air Service",2002-01-01,2003-03-31,
"ASH","Air South",1987-10-01,2002-09-30,
"ASI","Alpine Air Services Inc.",1960-01-01,2002-09-30,
"ASN","Air Casino",1993-03-01,2002-09-30,
"ASP","Asap Air Inc.",1960-01-01,2002-09-30,
"ASQ","Aerosur",1990-09-01,1991-12-31,
"ASR","Astor Air",1985-06-01,2002-09-30,
"AST","Astro Airways",1960-01-01,2002-09-30,
"ASU","Air South",1981-06-01,2002-09-30,
"ASW","Scenic Airlines",1990-09-01,2002-09-30,
"ASW","Sunrise Airlines Inc.",2002-10-01,2003-02-28,
"ATA","Atlantic Southeast Airlines",1960-01-01,1993-06-30,
"ATD","Atlantic Coast Airlines",1992-03-01,2001-12-31,
"ATD","Atlantic Coast Airlines",2002-01-01,2002-09-30,
"ATH","Air Southeast",1990-03-01,2002-09-30,
"ATN","Air Atlantic Airlines Inc.",1960-01-01,2002-09-30,
"ATO","Pacific National Airways",1960-01-01,2002-09-30,
"ATQ","Aero Tranportes Panamenos",1987-10-01,1989-08-31,
"AT","Royal Air Maroc",1981-07-01,,
"ATS","Atlantis Airlines Inc.",1960-01-01,2002-09-30,
"ATT","Aerotransit Inc.",1960-01-01,2002-09-30,
"ATX","Air Carolina",1960-01-01,2002-09-30,
"AUQ","Antonov Design Bureau",1996-11-01,2010-07-31,
"AUX","Austin Express Inc.",1997-12-01,2002-09-30,
"AVA","Air Vectors Airways",1960-01-01,2002-09-30,
"AV","Aerovias Nacl De Colombia",1981-07-01,,
"AVC","Av Center Inc.",1998-09-01,2002-09-30,
"AVG","Airvantage",1991-03-01,2002-09-30,
"AVI","Aero Virgin Islands Corp.",1960-01-01,2002-09-30,
"AVL","Aviation Sales",1993-09-01,2002-09-30,
"AVQ","Aero Laguna S.A. De C.V.",2005-04-01,,
"AVR","Air Vermont Inc.",1981-12-01,2002-09-30,
"AVS","Aviation Services",1960-01-01,2002-09-30,
"AVZ","Southern Jersey Airways",1960-01-01,2002-09-30,
"AWA","Air West Airlines",1992-06-01,2002-09-30,
"AWQ","Aermediterranea S.P.A.",1984-02-01,1989-12-31,
"AXQ","Aeron International Airlines Inc.",1983-04-01,1989-05-31,
"AX","Trans States Airlines",2002-07-01,2007-12-31,
"AX","Trans States Airlines",2008-01-01,,
"AY","Finnair Oy",1981-07-01,,
"AYQ","Aerodan S.A. De C.V.",2005-04-01,,
"AZ","Alitalia-Linee Aeree Italia",1981-07-01,2008-12-31,
"AZ","Compagnia Aerea Italiana",2009-01-01,,
"AZE","Arizona Express",2002-10-01,2004-12-31,
"AZP","Arizona Pacific Airways",1991-12-01,2002-09-30,
"AZQ","Anglo Airlines Ltd.",1986-12-01,1992-01-31,
"B0","Dreamjet SAS Dba La Compagnie",2014-07-01,,
"B6","JetBlue Airways",2000-02-01,2004-12-31,
"B6","JetBlue Airways",2005-01-01,,
"B8","Caribbean Airline Company",1994-06-01,1994-09-30,
"BAA","Aero International Airlines",1981-09-01,2002-09-30,
"BA","British Airways Plc",1981-07-01,,
"BAC","Business Aircraft Corp.",1960-01-01,2002-09-30,
"BAH","Brennan & Hargreaves Inc.",1960-01-01,2002-09-30,
"BAK","Bankair Inc.",1960-01-01,2002-09-30,
"BAN","Bangor International Air",1987-10-01,2002-09-30,
"BAQ","Aero Rentas De Coahuila S.A. De C.V.",2005-04-01,,
"BAR","Bard-Air Corp.",1960-01-01,2002-09-30,
"BAT","West Penn Commuter",1985-06-01,2002-09-30,
"BAY","Burlington Aeroplane Co.",1982-09-01,2002-09-30,
"BBQ","Balair Ag",1981-07-01,2001-10-31,
"BCA","Baja Cortez Airlines",1960-01-01,2002-09-30,
"BCQ","Bradley Air Services Ltd.",1988-07-01,,
"BC","Skymark Airlines Inc.",2010-09-01,,
"BD","British Midland Airways Ltd.",1981-07-01,,
"BDE","Jet Express",1985-07-01,2002-09-30,
